"ISO Country Code", "Region Name", "ISO_3166-2 Region Code", "Bytes3 Result"
CA,New Brunswick,CA-NB,4e4200
CA,Newfoundland and Labrador,CA-NL,4e4c00
CA,Northwest Territories,CA-NT,4e5400
CA,Nova Scotia,CA-NS,4e5300
CA,Nunavut,CA-NU,4e5500
CA,Ontario,CA-ON,4f4e00
CA,Prince Edward Island,CA-PE,504500
CA,Quebec,CA-QC,514300
CA,Saskatchewan,CA-SK,534b00
CA,Yukon,CA-YT,595400
CD,Bas-Uele,CD-BU,425500
CD,Equateur,CD-EQ,455100
CD,Haut-Katanga,CD-HK,484b00
CD,Haut-Lomani,CD-HL,484c00
CD,Haut-Uele,CD-HU,485500
CD,Ituri,CD-IT,495400
CD,Kasai,CD-KS,4b5300
CD,Kasai Central,CD-KC,4b4300
CD,Kasai Oriental,CD-KE,4b4500
CD,Kinshasa,CD-KN,4b4e00
CD,Kongo Central,CD-BC,424300
CD,Kwango,CD-KG,4b4700
CD,Kwilu,CD-KL,4b4c00
CD,Lomami,CD-LO,4c4f00
CD,Lualaba,CD-LU,4c5500
CD,Mai-Ndombe,CD-MN,4d4e00
CD,Maniema,CD-MA,4d4100
CD,Mongala,CD-MO,4d4f00
CD,Nord-Kivu,CD-NK,4e4b00
CD,Nord-Ubangi,CD-NU,4e5500
CD,Sankuru,CD-SA,534100
CD,Sud-Kivu,CD-SK,534b00
CD,Sud-Ubangi,CD-SU,535500
CD,Tanganyika,CD-TA,544100
CD,Tshopo,CD-TO,544f00
CD,Tshuapa,CD-TU,545500
CF,Bamingui-Bangoran,CF-BB,424200
CF,Bangui,CF-BGF,424746
CF,Basse-Kotto,CF-BK,424b00
CF,Gribingui,CF-KB,4b4200
CF,Haut-Mbomou,CF-HM,484d00
CF,Haute-Kotto,CF-HK,484b00
CF,Kemo-Gribingui,CF-KG,4b4700
CF,Lobaye,CF-LB,4c4200
CF,Mambere-Kadei,CF-HS,485300
CF,Mbomou,CF-MB,4d4200
CF,Nana-Mambere,CF-NM,4e4d00
CF,Ombella-Mpoko,CF-MP,4d5000
CF,Ouaka,CF-UK,554b00
CF,Ouham,CF-AC,414300
CF,Ouham-Pende,CF-OP,4f5000
CF,Sangha,CF-SE,534500
CG,Bouenza,CG-11,313100
CG,Brazzaville,CG-BZV,425a56
CG,Cuvette,CG-8,380000
CG,Cuvette-Ouest,CG-15,313500
CG,Lekoumou,CG-2,320000
CG,Likouala,CG-7,370000
CG,Niari,CG-9,390000
CG,Plateaux,CG-14,313400
CG,Pointe-Noire,CG-16,313600
CG,Pool,CG-12,313200
CG,Sangha,CG-13,313300
CH,Aargau,CH-AG,414700
CH,Appenzell Ausserrhoden,CH-AR,415200
CH,Appenzell Innerrhoden,CH-AI,414900
CH,Basel-Landschaft,CH-BL,424c00
CH,Basel-Stadt,CH-BS,425300
CH,Bern,CH-BE,424500
CH,Fribourg,CH-FR,465200
CH,Geneve,CH-GE,474500
CH,Glarus,CH-GL,474c00
CH,Graubunden,CH-GR,475200
CH,Jura,CH-JU,4a5500
CH,Luzern,CH-LU,4c5500
CH,Neuchatel,CH-NE,4e4500
CH,Nidwalden,CH-NW,4e5700
CH,Obwalden,CH-OW,4f5700
CH,Sankt Gallen,CH-SG,534700
CH,Schaffhausen,CH-SH,534800
CH,Schwyz,CH-SZ,535a00
CH,Solothurn,CH-SO,534f00
CH,Thurgau,CH-TG,544700
CH,Ticino,CH-TI,544900
CH,Uri,CH-UR,555200
CH,Valais,CH-VS,565300
CH,Vaud,CH-VD,564400
CH,Zug,CH-ZG,5a4700
CH,Zurich,CH-ZH,5a4800
CI,Abidjan,CI-AB,414200
CI,Bas-Sassandra,CI-BS,425300
CI,Comoe,CI-CM,434d00
CI,Denguele,CI-DN,444e00
CI,Goh-Djiboua,CI-GD,474400
CI,Lacs,CI-LC,4c4300
CI,Lagunes,CI-LG,4c4700
CI,Montagnes,CI-MG,4d4700
CI,Sassandra-Marahoue,CI-SM,534d00
CI,Savanes,CI-SV,535600
CI,Vallee du Bandama,CI-VB,564200
CI,Woroba,CI-WR,575200
CI,Zanzan,CI-ZZ,5a5a00
CL,Aisen del General Carlos Ibanez del Campo,CL-AI,414900
